sample_id,x,y,theta,Brain,Slide #,Array #
V11U23-406_C1,0.0,137.0,-0.0,Br8667,V11U23-406,C1
V11U23-406_D1,1278.526989674803,0.7832030094843622,-0.0055868846039465,Br8667,V11U23-406,D1
V11U08-082_A1,1365.0,18.000000000000004,-0.0,Br8325,V11U08-082,A1
V11U08-082_B1,19.0,52.0,-0.0,Br8325,V11U08-082,B1
V11U08-082_C1,109.33511742285113,752.3382304425696,0.0088923887734815,Br8325,V11U08-082,C1
V11U08-082_D1,1240.7839449235435,792.4230723546884,0.0356197488883313,Br8325,V11U08-082,D1
V12D07-074_A1,2166.0,1447.9999999999998,1.5707963267948966,Br2720,V12D07-074,A1
V12D07-074_B1,973.5044157826092,67.04220584156366,-0.0473227764385023,Br2720,V12D07-074,B1
V12D07-074_C1,-23.408307897899782,54.35185553414935,-0.041820444509415,Br2720,V12D07-074,C1
V12D07-074_D1,-98.39630180467016,538.8695177425703,-0.0687859276973501,Br2720,V12D07-074,D1
